input,phenotype,ratio
00000,P,1.0
00001,A,0.992741
00001,Unknown,0.007259
00010,A,1.0
00011,A,1.0
00100,P,1.0
00101,A,0.992716
00101,Unknown,0.007284
00110,A,1.0
00111,A,1.0
01000,P,1.0
01001,A,0.970903
01001,Unknown,0.029097
01010,A,1.0
01011,A,0.843356
01011,Q,0.156644
01100,P,1.0
01101,A,0.971211
01101,Unknown,0.028789
01110,A,1.0
01111,A,0.843228
01111,Q,0.156772
10000,A,0.997594
10000,P,0.002406
10001,A,1.0
10010,A,1.0
10011,A,1.0
10100,A,0.997713
10100,P,0.002287
10101,A,1.0
10110,A,1.0
10111,A,1.0
11000,A,0.997358
11000,P,0.002642
11001,A,1.0
11010,A,1.0
11011,A,1.0
11100,A,0.994315
11100,P,0.005685
11101,A,1.0
11110,A,0.998946
11110,Q,0.001054
11111,A,1.0
